name,url,duration,test_type,remote_testing,adaptive_irt
MFS 360 Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/mfs-360-enterprise-leadership-report/,N/A,D,Yes,No
Microsoft Dynamics Development (New),https://www.shl.com/products/product-catalog/view/microsoft-dynamics-development-new/,N/A,K,Yes,No
Microsoft Excel 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-new/,N/A,"K, S",Yes,No
Microservices (New),https://www.shl.com/products/product-catalog/view/microservices-new/,N/A,K,Yes,No
Microsoft Excel 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-excel-365-essentials-new/,N/A,"K, S",Yes,No
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,N/A,K,Yes,Yes
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,N/A,K,Yes,Yes
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,N/A,"K, S",Yes,No
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,N/A,K,Yes,Yes
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,N/A,K,Yes,No
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,N/A,"K, S",Yes,No
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,N/A,K,Yes,No
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,N/A,"S, K",Yes,No
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,N/A,K,Yes,No
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,N/A,K,Yes,No
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,N/A,P,Yes,No
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,N/A,K,Yes,No
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,N/A,P,Yes,No
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,N/A,P,Yes,No
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,N/A,P,Yes,No
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,N/A,K,Yes,No
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,N/A,P,Yes,No
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,N/A,K,Yes,No
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,N/A,K,Yes,No
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,N/A,K,Yes,No
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,N/A,K,Yes,No
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,N/A,S,Yes,No
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,N/A,K,Yes,No
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,N/A,K,Yes,No
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,N/A,K,Yes,No
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,N/A,"A, K, S",Yes,No
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,N/A,P,Yes,No
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,N/A,P,Yes,No
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,N/A,K,Yes,No
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,N/A,P,Yes,No
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,N/A,K,Yes,No
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,N/A,P,Yes,No
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,N/A,P,Yes,No
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,N/A,P,Yes,No
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,N/A,P,Yes,No
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,N/A,P,Yes,No
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,N/A,P,Yes,No
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,N/A,P,Yes,No
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,N/A,P,Yes,No
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,N/A,P,Yes,No
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,N/A,P,Yes,No
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,N/A,P,Yes,No
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,N/A,P,Yes,No
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,N/A,P,Yes,No
